Unnamed: 0,datetime,source,url,title,content
184,2018-07-29,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=355,2018国际青年物理学家竞赛中国邀请赛成功举办,2018国际青年物理学家竞赛中国邀请赛（IYPTC2018），暨第31届国际青年物理学家竞赛（IYPT），于2018年7月19日至28日，在北京成功举办。此次竞赛，由中国人民大学物理学系与中国人民大学附属中学联合学校总校共同举办，人大附中经济技术开发区学校协办。竞赛得到北京市大兴区教育委员会，北京经济技术开发区社会发展局和京东集团的大力支持。
82,2018-05-10,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=250,六角晶格上磁场诱导的量子自旋液体理论研究取得重要进展,最近，中国人民大学物理学系刘正鑫副教授与瑞士保罗谢勒研究所的BruceNormand研究员合作用变分蒙特卡洛方法研究了六角格子上的K-Γ自旋模型，发现外加不同方向的磁场能诱导出无能隙的U(1)Dirac自旋液体相或有能隙的Abel手征自旋液体相。前者完美的解释了α-RuCl3材料中低温强场核磁共振实验中观测到的强磁场下磁无序态中的无能隙激发[1]，后者还有待实验进一步确认。该研究结果以“DiracandChiralQuantumSpinLiquidsontheHoneycombLatticeinAMagneticField”为题于2018年5月发表在Phys.Rev.Lett.上[2]。
89,2018-04-13,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=418,2018年人大物理系博士生复试名单和复试办法,一、复试名单
179,2018-04-09,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=356,卢仲毅系主任一行赴浙江高校调研,为加强与兄弟院校的交流合作、学习借鉴先进办学经验，进一步提高我系教学和人才培养工作水平，2018年4月6日至8日，物理学系系主任卢仲毅教授、于伟强教授、张芃教授、张威教授等一行赴浙江师范大学数理与信息工程学院、浙江理工大学理学院开展调研。
65,2018-03-28,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=357,理学院物理系教师前往天津大学北洋园校区参观调研,理学院物理系教师前往天津大学北洋园校区参观调研		为进一步明确新校区物理系规划建设思路，学习兄弟院校成功建设经验，2018年3月28日，物理系系主任卢仲毅教授带队教师一行人赴天津大学新校区——北洋园校区参观调研校区规划建设。本次参观调研，受到了天津大学物理系李新奇教授的热情接待，并由人民大学物理系校友，现就职于天津大学物理系的胡智鑫副教授陪同参观。			天津大学新校区，又称天津大学北洋园校区，位于天津海河教育园区，占地3650亩，总建筑面积130万平方米。按照“统一规划、分期建设、分布实施”的建设原则，采取一轴两翼的正向布局。2015年建成投入使用后，天津大学12个学院以学科组群形式实现整体搬迁，现在校生规模达到18000人。天津大学新校区，是国际级高等职业教育改实验区、教育部直属高等教育示范区。	物理系调研组先后参观了天津大学图书馆、化工学院、物理系教学实验室和科研实验室。双方人员就新校区规划建设、天津大学物理系建设发展及实验室建设管理等方面进行了深入交流和探讨。卢仲毅主任表示，天津大学新校区建设令人震撼，通过此次调研，学到了天津大学及天大物理系在建设发展方面的诸多宝贵经验，这些经验将对人民大学物理系在新校区的规划建设有很大的借鉴意义。		最后，感谢天津大学物理系对本次调研的大力支持与协助。			美编/崔凤骁			新媒体中心出品	理学院2018/04/05
83,2018-03-12,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=402,中国人民大学物理学系2018年调剂生复试名单和复试办法,一、复试名单（调剂生）：
153,2018-03-05,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=403,中国人民大学学2018年统考生复试名单和复试办法,一、2018年物理系硕士生复试名单如下：
14,2018-03-02,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=404,中国人民大学物理系2018年硕士研究生调剂申请公告,目前我系已开始接受2018硕士研究生调剂申请，接收调剂的截止时间为3月11日，预计复试时间为3月15日和3月16日。
90,2018-02-07,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=251,于伟强课题组在铁基材料中通过氢化诱导出高温超导相,近日，中国人民大学物理系于伟强教授团队和清华大学物理系于浦副教授团队合作，首次借助离子液将氢离子插入到一些铁基结构材料中，并诱导出高温超导相。该研究成果以“Protonationinducedhigh-Tcphasesiniron-basedsuperconductorsevidencedbyNMRandmagnetizationmeasurements”为题在ScienceBulletin2018年第一期作为封面文章刊发【1】。铁基超导最早发现者HideoHosono教授同期撰文对该工作亮点推荐【2】。
176,2017-12-06,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=393,于伟强教授课题组在α-RuCl3量子自旋液体的研究中获得重要进展,
81,2017-10-21,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=269,独家专访 | 专访吴玉章奖获得者乔婧思,专访吴玉章奖获得者乔婧思
129,2017-10-21,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=421,专访吴玉章奖获得者乔婧思,大学数载——静心学术终有成		对于很多人大人来说吴玉章奖学金是至高无上的荣誉，小编在还未入学时就听说过吴玉章奖学金的名号。当问到师姐获奖的感受时，她很感慨地谈到，获得吴玉章奖学金，首先非常非常感谢她的博士生导师季威教授一直以来的指导，和每一位老师的帮助。她从09年进入人大开始本科学习，吴玉章奖学金对她的意义十分重大，师姐说道：“它不仅代表对我八到九年的大学学习阶段的肯定与认可，而且对我之前的学习工作有很好的总结意义，我也希望今后以获得吴玉章奖学金为契机做出更多有价值的工作。”
182,2017-09-27,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=416,2018年推免生复试办法,根据教育部有关推荐免试生招生文件规定和精神，结合我校实际情况，制定本办法。
151,2017-09-08,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=392,《科学》子刊发表物理学系季威研究组重要合作研究成果,
22,2017-06-19,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=391,物理学系及合作者实现对单一原子迁移路径的预测和成像,近日，中国人民大学物理学系季威教授研究组博士生潘宇浩、胡智鑫博士等，与浙江大学张泽院士团队金传洪教授研究组、约克大学袁俊教授等合作，运用第一性原理计算模拟结合扫描透射电子显微镜逐帧统计相结合的方法，在原子尺度上预测并直接观察到了钼原子在单层二硫化钼表面和内部运动的迁移路径。相关研究成果以“DirectImagingofKineticPathwaysofAtomicDiffusioninMonolayerMolybdenumDisulfide”为题，于2017年5月26日在线发表在美国化学会《纳米快报》上。
124,2017-05-11,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=413,2017年5月博士生答辩公示,题  目：铁电金属LiOsO3和巨磁阻半金属Ta/NbAs2的拉曼研究
12,2017-04-10,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=406,理学院物理系2018年“申请—审核-复试(综合考试)”制博士生招生工作方案,根据《中国人民大学博士生招考制度“申请-审核-复试（综合考试）”制改革方案》，理学院物理系自今年起，博士生招考试行“申请-审核-复试（综合考试）”制选拔模式。为保证今年博士生招生工作顺利开展，提高生源质量，制定本工作方案。
27,2017-03-03,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=390,齐燃副教授在玻色-费米混合超流体系研究中取得进展,
165,2017-02-27,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=417,物理系2017年统考生复试名单和复试办法,一、复试名单：
102,2016-12-19,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=389,张清明教授研究组在低维量子材料和自旋阻挫体系方面取得重要研究进展,
168,2016-12-08,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=388,于伟强教授、雷和畅副教授和俞榕教授课题组在铁硒超导的高压核磁共振研究方向取得重要进展,对铁硒块材(FeSe)、插层铁硒以及单层铁硒薄膜等铁硒基高温超导材料的物性研究成为当前凝聚态物理领域的前沿热点之一。其中，铁硒块材表现出不同于多数铁砷基高温超导材料的向列序、磁学和超导现象。铁砷基材料中向列序往往伴随着条纹状磁有序结构的产生，而FeSe块材有高达90K的向列序（结构）相变以及8K左右的超导相变，却没有任何磁有序的迹象。而压力下的研究表明该材料的向列序被压制，继而形成了反铁磁序和转变温度高达38K的高温超导现象。这种非常奇特的向列序、反铁磁、和超导之间的关系被认为是理解铁基高温超导机理的关键。而其中一个核心问题，即压力诱导的铁硒块材的磁结构，却一直没有直接的实验测定。
76,2016-11-25,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=414,2016年11月和12月博士答辩公示,题  目：量子行走的基础性质研究
140,2016-11-07,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=415,理学院物理系2017年“申请—审核-复试(综合考试)”制博士生招生工作方案,根据《中国人民大学博士生招考制度“申请-审核-复试（综合考试）”制改革方案》，理学院物理系自2016年起，博士生招考试行“申请-审核-复试（综合考试）”制选拔模式。为保证2016年博士生招生工作顺利开展，提高生源质量，制定本工作方案。
74,2016-08-15,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=387,相互作用导致的陈绝缘体在数值模拟中被发现,
91,2016-07-25,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=386,《Science》发表物理学系齐燃副教授及合作者的最新研究成果,
104,2016-06-08,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=385,相互作用拓扑绝缘体中拓扑不变量的计算取得进展,
131,2016-03-02,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=270,《师兄师姐寄语》之五-2011级本科毕业生杨通,
59,2016-01-13,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=358,物理学系卢仲毅教授课题组获教育部自然科学奖一等奖,
52,2016-01-07,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=384,物理学系在二维有机半导体研究领域获得突破性进展,
167,2015-12-07,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=271,《师兄师姐寄语》之四-2011级本科毕业生张洋,
55,2015-12-07,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=272,《师兄师姐寄语》之三-2011级本科毕业生廖锐,【师兄师姐寄语】
92,2015-12-07,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=273,《师兄师姐寄语》之二-2011级本科毕业生戴国晨,
203,2015-11-13,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=275,2007级本科班毕业合影,
200,2015-11-13,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=277,2005级本科班毕业合影,
185,2015-11-13,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=274,2009级本科班毕业合影,
51,2015-11-13,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=276,2006级本科班毕业合影,
