,datetime,source,url,title,content
107,2018/11/14,chem.ruc.edu.cn,http://chem.ruc.edu.cn/xsjl/xn/cec0f52c2dd145399a21165427bf0cd7.htm,离子液体和低共熔溶剂分离酚 、 芳烃 和脂肪烃混合物,
108,2018/11/8,chem.ruc.edu.cn,http://chem.ruc.edu.cn/dtgz/gh/088dce5b257349ef97c20ded53303db7.htm,恭喜慕成老师获得中国人民大学2017-2018学年“十佳班主任”,为认真总结班主任工作经验，促进班主任工作交流，展示班主任工作风采，学校通过各学院评选推荐、学校组织公开评选，现评出2017—2018学年“十佳班主任”10人、“十佳班主任”提名奖12人。现面向全校进行公示，名单如下：
109,2018/11/8,chem.ruc.edu.cn,http://chem.ruc.edu.cn/xwdt/txzx/5086d6a90fd544fa9fcd2b81a5a1f5f9.htm,恭喜慕成老师获得中国人民大学2017-2018学年“十佳班主任”,为认真总结班主任工作经验，促进班主任工作交流，展示班主任工作风采，学校通过各学院评选推荐、学校组织公开评选，现评出2017—2018学年“十佳班主任”10人、“十佳班主任”提名奖12人。现面向全校进行公示，名单如下：
110,2018/11/2,chem.ruc.edu.cn,http://chem.ruc.edu.cn/xwdt/txzx/265e1b812cc541db83edcbcacc8e193e.htm,张璞：做学生的“亲友团”,
111,2018/11/2,chem.ruc.edu.cn,http://chem.ruc.edu.cn/dtgz/gh/04f2080c49324da2b6920c1ace7af53d.htm,张璞：做学生的“亲友团”,
112,2018/10/23,chem.ruc.edu.cn,http://chem.ruc.edu.cn/tzgg/zsdt/b586e79bfe654ffeaadac1dcadf597fa.htm,理学院化学系2019年“申请-考核制”博士生招生工作方案,为加强对考生以往学习情况、科研水平、学术成绩的考评，强化对考生创新能力、学术潜力和学术兴趣的考察，充分发挥学院和导师在博士生选拔过程中的自主权，探索符合化学学科及各层次创新拔尖人才选拔特点的博士生人才选拔模式，根据学校相关规定，特制定本方案。
113,2018/10/22,chem.ruc.edu.cn,http://chem.ruc.edu.cn/xsjl/xn/3b169c7d51f94fcf8ab1d954320cf91d.htm,Polymers at synthetic and biological surfaces,
114,2018/10/22,chem.ruc.edu.cn,http://chem.ruc.edu.cn/dtgz/gh/ebad2122e47a4e318e9a3b618a246e8e.htm,张建平教授：厚基础、树特色、促创新，建设一流化学学科,
115,2018/10/22,chem.ruc.edu.cn,http://chem.ruc.edu.cn/xsjl/xn/bd24d4910be14c9ba11598c148d4b57b.htm,Combination of NanoSIMS with electrochemical methods to understand the chemical structure of neurotransmitter vesicles and neurotransmission,
116,2018/10/16,chem.ruc.edu.cn,http://chem.ruc.edu.cn/xwdt/xscg/43a0dd9296504e32b380bfe7eb2dd0a7.htm,化学系2010届校友-香港中文大学段丽婷教授访问化学系并作报告,2018年9月26日下午3点，香港中文大学生物医学工程系段丽婷教授在理工楼207会议室为化学系师生作了题为“驾驭光的力量-用光来控制细胞活动”的精彩学术报告。报告由化学系张美宁教授主持。
117,2018/10/10,chem.ruc.edu.cn,http://chem.ruc.edu.cn/xsjl/xn/be3f2a3c58864d74822dd2839e997f14.htm,Enhancement or optimization of energy-transfer  from carotenoid to chlorophyll in photosynthetic antennas,
118,2018/10/10,chem.ruc.edu.cn,http://chem.ruc.edu.cn/xsjl/xn/e2a0ba0541ca48b7bd7024d7ef4f9cde.htm,Function of antenna pigments in photosynthesis,
119,2018/10/8,chem.ruc.edu.cn,http://chem.ruc.edu.cn/tzgg/zsdt/8cabe8ffc4794cffa0408f60e681fcb8.htm,2019年推荐免试生申请攻读我校(理学院化学系)硕士学位研究生复试名单及安排,
120,2018/9/29,chem.ruc.edu.cn,http://chem.ruc.edu.cn/xwdt/djzt/d4c6df1dc659465f9895f3f8190ecbd2.htm,化学系党支部学习2018最新修订版《中国共产党纪律处分条例》,
